"light_bias","v_mean","Y","p_bite","r_scale","N1","N2","N3","N4","total"
0.25,0.8,0,0.5,0.25,0,1,14,5,20
0.5,0.8,0,0.5,0.25,0,1,15,5,21
0.75,0.8,0,0.5,0.25,0,0,23,3,26
1,0.8,0,0.5,0.25,0,0,0,20,20
0,1.2,0,0.5,0.25,1,1,20,9,31
0.25,1.2,0,0.5,0.25,1,2,16,5,24
0.5,1.2,0,0.5,0.25,0,2,13,3,18
0.75,1.2,0,0.5,0.25,0,1,15,9,25
1,1.2,0,0.5,0.25,0,0,20,0,20
0,1.6,0,0.5,0.25,2,2,17,6,27
0.25,1.6,0,0.5,0.25,0,4,17,5,26
0.5,1.6,0,0.5,0.25,0,3,20,5,28
0.75,1.6,0,0.5,0.25,0,2,16,6,24
1,1.6,0,0.5,0.25,0,0,0,0,0
0,0.8,1,0.5,0.25,1,3,17,3,24
0.25,0.8,1,0.5,0.25,0,1,24,7,32
0.5,0.8,1,0.5,0.25,0,5,16,8,29
0.75,0.8,1,0.5,0.25,0,0,23,10,33
1,0.8,1,0.5,0.25,0,0,0,0,0
0,1.2,1,0.5,0.25,0,0,21,5,26
0.25,1.2,1,0.5,0.25,0,4,23,3,30
0.5,1.2,1,0.5,0.25,0,2,16,4,22
0.75,1.2,1,0.5,0.25,0,1,25,5,31
1,1.2,1,0.5,0.25,0,0,19,0,19
0,1.6,1,0.5,0.25,2,3,22,6,33
0.25,1.6,1,0.5,0.25,0,1,15,2,18
0.5,1.6,1,0.5,0.25,0,0,15,3,18
0.75,1.6,1,0.5,0.25,0,1,26,6,33
1,1.6,1,0.5,0.25,0,0,0,0,0
0,0.8,2,0.5,0.25,0,1,26,13,40
0.25,0.8,2,0.5,0.25,0,2,25,8,35
0.5,0.8,2,0.5,0.25,0,0,24,10,34
0.75,0.8,2,0.5,0.25,0,1,43,6,50
1,0.8,2,0.5,0.25,0,0,0,0,0
0,1.2,2,0.5,0.25,1,3,18,11,33
0.25,1.2,2,0.5,0.25,0,2,21,6,29
0.5,1.2,2,0.5,0.25,0,0,25,7,32
0.75,1.2,2,0.5,0.25,0,1,20,7,28
1,1.2,2,0.5,0.25,0,0,0,0,0
0,1.6,2,0.5,0.25,0,2,27,7,36
0.25,1.6,2,0.5,0.25,0,1,17,10,28
0.5,1.6,2,0.5,0.25,0,1,20,4,25
0.75,1.6,2,0.5,0.25,0,3,23,5,31
1,1.6,2,0.5,0.25,0,0,29,0,29
0,0.8,3,0.5,0.25,0,0,39,8,47
0.25,0.8,3,0.5,0.25,0,0,16,13,29
0.5,0.8,3,0.5,0.25,0,1,28,3,32
0.75,0.8,3,0.5,0.25,0,2,47,9,58
1,0.8,3,0.5,0.25,0,0,0,0,0
0,1.2,3,0.5,0.25,2,2,16,6,26
0.25,1.2,3,0.5,0.25,0,0,20,5,25
0.5,1.2,3,0.5,0.25,0,1,35,7,43
0.75,1.2,3,0.5,0.25,0,1,27,11,39
1,1.2,3,0.5,0.25,0,0,0,0,0
0,1.6,3,0.5,0.25,2,1,26,8,37
0.25,1.6,3,0.5,0.25,0,0,15,4,19
0.5,1.6,3,0.5,0.25,0,2,18,7,27
0.75,1.6,3,0.5,0.25,0,5,27,6,38
1,1.6,3,0.5,0.25,0,0,0,0,0
0,0.8,0,0.2,0.35,0,0,13,5,18
0.25,0.8,0,0.2,0.35,0,0,13,2,15
0.5,0.8,0,0.2,0.35,0,0,13,4,17
0.75,0.8,0,0.2,0.35,0,1,11,1,13
1,0.8,0,0.2,0.35,0,0,18,0,18
